noun,verb,metric,mean
楽しさ,Xが漏れる,metaphoricity,2.0000000000000000
悲しみ,Xが流れる,novelty,3.1000000000000000
不安,Xが流れ出る,comprehensibility,2.5000000000000000
憎悪,Xが滴る,comprehensibility,2.5000000000000000
快楽,Xがこぼれる,metaphoricity,2.6000000000000000
怒り,Xが満ちる,novelty,1.5000000000000000
泥,Xが渦巻く,novelty,2.6000000000000000
ネコ,Xが滲む,comprehensibility,0.20000000000000000000
楽しさ,Xが沸騰する,novelty,3.1000000000000000
アリ,Xが淀む,comprehensibility,0.30000000000000000000
におい,Xを搾り出す,comprehensibility,1.5000000000000000
砂,Xが濁る,novelty,3.3000000000000000
理解,Xに浸す,comprehensibility,0.40000000000000000000
情報,Xですすぐ,comprehensibility,0.80000000000000000000
言葉,Xを浴びせる,comprehensibility,3.9000000000000000
気持ち,Xを注ぐ,novelty,2.2000000000000000
アリ,Xに沈む,comprehensibility,1.00000000000000000000
喜び,Xを注ぐ,metaphoricity,2.7000000000000000
アリ,Xをかける,comprehensibility,0.60000000000000000000
水,Xを啜る,comprehensibility,4.0000000000000000
安心,Xに浸る,comprehensibility,3.5000000000000000
音,Xが澄む,metaphoricity,3.4000000000000000
空気,Xが流れ出る,metaphoricity,1.1000000000000000
音,Xに漬かる,novelty,2.8000000000000000
悲しみ,Xを飲む,metaphoricity,2.2000000000000000
