noun,verb,metric,mean
iwa (rock),X ni tukaru (Y gets submerged in X),metaphoricity,2.5000000000000000
zouo (hatred),X ga hotobasiru (X spurts),metaphoricity,1.7000000000000000
tanosisa (enjoyment),X ga tamaru (X gets collected),comprehensibility,1.3000000000000000
jounetu (passion),X wo susuru (Y sips X),novelty,3.1000000000000000
zouo (hatred),X ga simiru (X soaks into Y),comprehensibility,1.00000000000000000000
kinsen (money),X ni sizumu (Y sinks into X),comprehensibility,2.3000000000000000
kibou (hope),X ga mitiru (X fills Y),comprehensibility,3.6000000000000000
mizu (water),X wo nomu (Y drinks X),novelty,0.00000000000000000000
ito (intention),X wo kakeru (Y sprays X),metaphoricity,0.80000000000000000000
suimin (sleep),X wo kakeru (Y sprays X),comprehensibility,0.40000000000000000000
kimoti (feeling),X ga sumu (X gets clear),comprehensibility,2.8000000000000000
suimin (sleep),X ni sizumu (Y sinks into X),comprehensibility,0.80000000000000000000
ito (intention),X ni sizumu (Y sinks into X),metaphoricity,1.7000000000000000
nioi (smell),X ga moreru (X leaks),novelty,0.60000000000000000000
kuuki (air),X wo makitirasu (Y sprinkles X),comprehensibility,2.9000000000000000
nioi (smell),X ga huttou-suru (X boils),metaphoricity,2.5000000000000000
kyouhu (fear),X ga nagareru (X flows),comprehensibility,1.00000000000000000000
yorokobi (delight),X ni tukaru (Y gets submerged in X),comprehensibility,2.3000000000000000
jouhou (information),X ga waku (X gushes out),comprehensibility,2.3000000000000000
kinsen (money),X wo kakeru (Y sprays X),comprehensibility,3.0000000000000000
suimin (sleep),X ga yodomu (X gets stagnant),comprehensibility,0.90000000000000000000
kotoba (word),X ni hitaru (Y soaks in X),comprehensibility,2.9000000000000000
mizu (water),X ga nagareru (X flows),metaphoricity,0.00000000000000000000
zetubou (despair),X ga mitiru (X fills Y),metaphoricity,1.6000000000000000
ito (intention),X ni hitasu (Y dips Z in X),novelty,3.3000000000000000
jikan (time),X ga nizimu (X oozes),novelty,3.7000000000000000
ito (intention),X ga yodomu (X gets stagnant),metaphoricity,1.9000000000000000
yorokobi (delight),X wo siboridasu (Y squeezes X),novelty,2.9000000000000000
tanosisa (enjoyment),X ga sumu (X gets clear),novelty,4.0000000000000000
kairaku (pleasure),X wo susuru (Y sips X),comprehensibility,1.1000000000000000
tanosisa (enjoyment),X ni tukaru (Y gets submerged in X),metaphoricity,1.8000000000000000
suna (sand),X ga sitataru (X drips),novelty,3.2000000000000000
neko (cat),X ga ahureru (X overflows),metaphoricity,1.2000000000000000
iwa (rock),X ga tamaru (X gets collected),comprehensibility,1.9000000000000000
zouo (hatred),X ga nigoru (X gets cloudy),comprehensibility,0.80000000000000000000
syutisin (shame),X wo susuru (Y sips X),comprehensibility,0.80000000000000000000
roudou (labor),X ga nizimu (X oozes),novelty,3.2000000000000000
zetubou (despair),X ni sizumu (Y sinks into X),comprehensibility,2.7000000000000000
kimoti (feeling),X wo siboridasu (Y squeezes X),metaphoricity,2.8000000000000000
koe (voice),X ga nizimu (X oozes),novelty,2.2000000000000000
kibou (hope),X wo kakeru (Y sprays X),metaphoricity,2.5000000000000000
